generation,best_fitness,mean_fitness,median_fitness,diversity
0,0.7314613023068957,154.97043437131228,84.88878740356932,0.9851936898930188
1,0.7314613023068957,45.54402503263388,13.388009567494194,0.6822986545866552
2,0.7166531072994424,15.243349042832879,2.286800137925707,0.45483242456135065
3,0.6280832623896588,3.716062731765486,0.9592956690872789,0.2986183547091841
4,0.5006673371811315,1.5330699167513504,0.8593966801748949,0.18817440356867593
5,0.5006673371811315,1.662729398198478,0.8715620440308021,0.16820662918267115
6,0.5006673371811315,1.2561021853674692,0.7445493065551543,0.15067241843901302
7,0.4977349681990509,0.8341205656140391,0.6236855207900212,0.10534832366699635
8,0.4977349681990509,1.035578274008737,0.56872472405353,0.08961179787313435
9,0.4977349681990509,1.006488756426323,0.5555399729896874,0.10490126180548139
10,0.4977349681990509,0.6553002884838719,0.5260826033940762,0.061276318235837485
11,0.49772106749969647,1.2654588286223643,0.5164752604875392,0.09003590101464048
12,0.49764966906495495,1.1696572022036005,0.5228942840932296,0.08230579528403578
13,0.49764966906495495,1.3337820080210456,0.5335602956133267,0.08579048981180507
14,0.49764966906495495,1.0148671660480755,0.5091198598297377,0.0787579376822712
15,0.4975420742307521,1.2166449618583066,0.5013298413340501,0.084562150190442
16,0.4975420742307521,1.1059359802594282,0.4981951878058581,0.055443764775332874
17,0.4975420742307521,1.0380455143803085,0.4985139370141608,0.06328745826119672
18,0.4975420742307521,1.1961274570276152,0.50200447505883,0.07169622784228442
19,0.4975252437164363,0.9978435062495883,0.5003263719599974,0.07509498951154063
20,0.4975252437164363,0.9569057595569395,0.5006386955493407,0.059989790986892166
21,0.4975252437164363,0.9657942364199791,0.4984312130650216,0.07144795139566469
22,0.497516920528302,0.6475303655963532,0.49906856744676686,0.05693542890026905
23,0.497516920528302,1.1646679594559712,0.49894341533122133,0.07101592548724414
24,0.497516920528302,0.7063726618154615,0.4991943273006464,0.05663296350199607
25,0.497516920528302,0.9456801871340881,0.49872864275830175,0.05902348209657089
26,0.497516920528302,0.6413234446744726,0.49764832570117834,0.053318339949517554
27,0.497516920528302,0.9197586952977455,0.49778069664008084,0.08132388629418871
28,0.4975158556465156,0.927502640664638,0.4976892843478933,0.07373656891319258
29,0.4975154165294699,0.9983637842378045,0.4975193219356907,0.06145343438766106
30,0.4975154165294699,1.0690346458248852,0.49751760220139307,0.07162089868990998
31,0.4975154165294699,0.871571601709602,0.49751709108676284,0.06289860044460313
32,0.4975148931473397,0.9489100882544891,0.49751721169931207,0.06026383555599935
33,0.4975148931473397,0.8453571907403311,0.4975231547859287,0.0695756034077559
34,0.49751487367093866,0.7645732011431847,0.49752450426652295,0.06031652966982912
35,0.49751487367093866,0.822678400530673,0.4975204476645962,0.05120677414516247
36,0.49751487367093866,0.865062843343292,0.4975198669646472,0.0573090396443641
37,0.4975148323299481,1.0568249311373055,0.4975200768658909,0.06432493104833226
38,0.4975148323299481,0.9824907757357579,0.49751845424260865,0.07110376961194402
39,0.4975148311311657,0.987257932874262,0.49751583435501756,0.05299061110156747
40,0.4975148268847429,0.6754319721169962,0.4975149282095541,0.05867845909694757
41,0.4975148229619145,1.1262788933873993,0.49762303097795213,0.07015655582367211
42,0.4975148229619145,0.8401489722284823,0.4976105018797176,0.05641764469710207
43,0.4975148198861506,0.6086825514509699,0.4975148393398573,0.03216025694349069
44,0.4975148145122929,0.6355685440707569,0.4975148309647094,0.03922486517192762
45,0.49751481088220223,0.7201676468612976,0.49751482650244017,0.0658776334410465
46,0.49751480191163394,1.4146171931237796,0.49751482896805077,0.07277242220339397
47,0.49751480191163394,0.9833255503165935,0.497514828893732,0.06636264825502103
48,0.49751479634975254,0.7049383638876237,0.4975148242959935,0.06831139567154276
49,0.49751479526777903,1.0541586743600924,0.4975148264929199,0.06925384993662033
50,0.49751479141646116,0.7536311542787866,0.4975148111938469,0.052948071980983086
