generation,best_fitness,mean_fitness,median_fitness,diversity,island,migration_event
0,102.8263510898633,180.34363490546997,179.99128522079002,2.8600849019132806,0,False
1,101.22151871791311,164.25186153096854,160.40754220927215,2.5864767811531033,0,False
2,94.97952521158425,147.7698480896088,145.1169319082919,2.2888224300727793,0,False
3,73.316526287503,134.1575369987992,136.52683079984476,1.9314323662166248,0,False
4,73.316526287503,126.79104176202961,122.89640825459051,1.5870828222405884,0,False
5,73.316526287503,124.50957601509359,122.43879911255443,1.5945738599546373,0,False
6,62.657207360828195,125.59528342682847,126.72814697537278,1.4368491593348767,0,False
7,62.657207360828195,112.39524564667617,108.83835632368957,1.3461701315857533,0,False
8,58.09361639383127,101.1754682245125,100.8896237443451,1.0963593216097707,0,False
9,47.269383703158276,104.22929317659172,105.62949308740241,1.0744415992509169,0,False
10,45.80454305959032,95.00480486954949,93.07688762114037,0.9222247225365907,0,False
11,45.80454305959032,95.39198343836432,93.78540035296969,0.826781856831263,0,False
12,45.80454305959032,97.91299282056161,95.79491450925423,0.7950688385979261,0,False
13,45.80454305959032,89.49495366236457,91.62861571409883,0.7556247985785113,0,False
14,32.016722561270626,86.07446365803914,87.77225459895332,0.7361288140018065,0,False
15,32.016722561270626,82.14651802736525,84.2974884493701,0.6610778466036057,0,False
16,31.40952568483081,81.39020327190525,81.43754356439956,0.6296281673781449,0,False
17,22.44525749299686,71.91779216422167,70.42123019530489,0.6457491968700866,0,False
18,22.44525749299686,74.99299287961858,75.1641332702429,0.645670029290834,0,False
19,22.44525749299686,70.46373324160467,70.70534626382087,0.6674833449260305,0,False
20,22.44525749299686,70.21601445239365,72.14788305940121,0.520230329314495,0,False
21,18.4824728217734,63.34916321864605,63.59479673157156,0.47098750273843815,0,False
22,18.4824728217734,58.18535857641951,60.08777069830519,0.4093760262666006,0,False
23,18.4824728217734,57.90825863753539,57.36926900693915,0.42944022921919445,0,False
24,13.005601543578834,52.242822607277695,50.63857778397699,0.384622129796695,0,False
25,13.005601543578834,57.85545630090452,57.98174249724215,0.3887332046339016,0,False
26,13.005601543578834,60.80031503264365,60.4075300114293,0.3730153516727879,0,False
27,13.005601543578834,51.57001004394951,51.16276360768197,0.3439363984413011,0,False
28,13.005601543578834,48.06617663049848,47.121039186858525,0.3672436852645057,0,False
29,13.005601543578834,43.79512960938076,42.27344943941138,0.3437005157260401,0,False
30,13.005601543578834,51.47342746941458,49.542370189493525,0.3676775619775217,0,False
31,12.705046523481457,44.458483214530766,42.40327879177384,0.3475974938622201,0,False
32,12.705046523481457,50.62484833474374,52.551979137652296,0.33276476045769615,0,False
33,12.705046523481457,52.276588124536225,53.048358368786126,0.3084073728432581,0,False
34,10.728503712085555,48.53055498905005,48.58563514000704,0.26922628899819584,0,False
35,10.728503712085555,46.58831531791353,44.538644430657136,0.2699940017364243,0,False
36,10.728503712085555,42.358530702395456,40.15052560933106,0.25832807269813085,0,False
37,9.531199875261137,43.70442831413897,42.731808197937724,0.28048284175695665,0,False
38,9.531199875261137,43.32870916054513,42.47498564806722,0.2647752978064995,0,False
39,9.267591715657815,35.78467310839226,35.543632485341014,0.20237948672700962,0,False
40,7.49044900811154,35.08585511179783,33.885904281546885,0.2067133918757113,0,False
0,99.77625461604347,179.17283897398332,174.95678322800973,2.8507164347010767,1,False
1,87.82723937561838,159.40268030567435,162.11198566267353,2.4692672467361243,1,False
2,87.82723937561838,142.24648592085825,143.50154199802373,2.1252657343731514,1,False
3,69.62589232882169,132.34601103209224,132.893785753058,1.8537657903034674,1,False
4,69.62589232882169,122.71276228772193,123.05176888480457,1.6245651593788022,1,False
5,69.62589232882169,114.08195384223765,115.55196885199393,1.5184006879351988,1,False
6,69.62589232882169,119.94703034536674,115.1065771781361,1.4032318824807204,1,False
7,69.62589232882169,115.5279311020595,113.01053827017303,1.206863387939641,1,False
8,69.62589232882169,107.61719725185232,104.55348688711692,1.152552650451137,1,False
9,62.911124909559476,107.68459683544816,104.69589038180115,1.117070320815353,1,False
10,62.48887633856585,104.78412377343072,102.06390270955791,1.0626541398270737,1,False
11,53.196397458100435,96.9744719847723,94.48324393043671,0.9522949404368924,1,False
12,44.36304639378641,94.92732417484483,97.04241703803095,0.9986145513045381,1,False
13,44.36304639378641,90.83730160471652,91.04530590941462,0.9180797963654964,1,False
14,28.394474455764282,86.0891390105194,86.14637785731026,0.8476063197124223,1,False
15,28.394474455764282,87.95597618884679,85.09419605009113,0.8501568053931294,1,False
16,28.394474455764282,88.51471677903548,92.5377450805221,0.8441399260261093,1,False
17,28.394474455764282,76.92741514299819,74.69298837983715,0.6458242203760911,1,False
18,28.394474455764282,76.95350413118919,72.21099768616506,0.631641015219153,1,False
19,28.205414923021223,70.53456166869528,70.59159204596767,0.6328952073877263,1,False
20,28.205414923021223,73.81345416356235,73.60378071070426,0.626767034678118,1,False
21,28.205414923021223,69.00270167660135,67.61923222338758,0.601179896524773,1,False
22,28.205414923021223,62.03135756150979,59.89689351922413,0.5236910733794419,1,False
23,11.206723485195084,58.14201588080183,56.77983818460809,0.42987287887745074,1,False
