generation,pareto_front_size,min_objective_1,min_objective_2,mean_objective_1,mean_objective_2
0,13,0.05792725948239161,0.1956803291920633,4.682257658178177,4.674516224252285
1,21,0.05792725948239161,0.19506591643116414,3.0181952696036967,3.2857189168357746
2,42,0.02577905513881998,0.11343341653092522,2.630344210492529,2.783186855746797
3,60,0.0032148475106003292,0.05817721048634217,2.631268980254032,2.363594857694546
4,60,0.0032148475106003292,0.05817721048634217,2.6810130970198567,2.3426288598789142
5,60,0.0032148475106003292,0.05817721048634217,2.6674382776773036,2.401860808320978
6,60,0.0032148475106003292,0.05817721048634217,2.2938169116814096,2.7028168528617322
7,60,0.0032148475106003292,0.05817721048634217,2.375914146744594,2.78823530419895
8,60,0.0032148475106003292,0.05817721048634217,2.352598186554698,2.7895063369964785
9,60,0.0032148475106003292,0.05817721048634217,2.5221140594913276,2.7029951213403636
10,60,0.0032148475106003292,0.05817721048634217,2.5672280425026117,2.6728751646405153
11,60,0.0032148475106003292,0.05817721048634217,2.654334253394191,2.580245190357486
12,60,0.0031990422075543696,0.043956399021741185,2.322945840711522,2.869284545144175
13,60,0.0031990422075543696,0.043956399021741185,2.4102647482485264,2.8838964868975756
14,60,0.0031990422075543696,0.02602912829932879,2.405027373816326,2.911316136680878
15,60,0.0031990422075543696,0.007854793216397732,2.435413504695233,3.0038269535074265
16,60,0.0031990422075543696,0.007854793216397732,2.488325841891191,2.936186663347636
17,60,0.0031990422075543696,0.007854793216397732,2.5580352052020405,2.866329393842586
18,60,0.0031990422075543696,0.007854793216397732,2.5142563095236894,2.826255334560788
19,60,0.0031990422075543696,0.007854793216397732,2.5435378351916853,2.8315102338539777
20,60,0.0031990422075543696,0.007854793216397732,2.456995149008483,3.0220388363075883
21,60,0.0031990422075543696,0.007854793216397732,2.522431555883812,2.7947994650369736
22,60,0.0031990422075543696,0.007854793216397732,2.4994959381535344,2.8650742416691726
23,60,0.0031990422075543696,0.001903509818144225,2.3719939864711264,2.988766826620094
24,60,0.0031990422075543696,0.001239009819174592,2.271442931495694,3.0011899614109527
25,60,0.0031990422075543696,0.001239009819174592,2.5078102460356084,2.9134783646252207
26,60,0.0031990422075543696,0.001239009819174592,2.542877803913529,2.940324599739475
27,60,0.0031990422075543696,0.001239009819174592,2.721137328574076,2.611262092857918
28,60,0.0031990422075543696,0.001239009819174592,2.74401963050749,2.5872295330871196
29,60,0.0031990422075543696,0.001239009819174592,2.86004063006248,2.503181950146905
30,60,0.0031990422075543696,0.001239009819174592,2.707746558690975,2.6087476307004844
31,60,0.0031990422075543696,0.001239009819174592,2.678121561429699,2.7155993641431246
32,60,0.0031990422075543696,0.001239009819174592,2.5946904336140735,2.8223997340730747
33,60,0.0031990422075543696,0.001239009819174592,2.501373433297287,2.89443369708873
34,60,0.0031990422075543696,0.001239009819174592,2.5734284453771674,2.832835484675002
35,60,0.0031990422075543696,0.0008410640571911163,2.610723417418298,2.6795564416062088
36,60,0.0031990422075543687,0.0008410640571911163,2.5305926181493663,2.8317438558441212
37,60,0.0031990422075543687,0.00020134336122622562,2.6776857910091207,2.7530260088344756
38,60,0.0028286544077909988,0.00020134336122622562,2.508210793677726,2.7841131824265775
39,60,0.0028286544077909988,0.00020134336122622562,2.5485759127384133,2.782915480978678
40,60,0.0028286544077909988,0.00020134336122622562,2.593970639119354,2.802169031256477
41,60,0.0028286544077909988,0.00020134336122622562,2.681598849121223,2.769694192727985
42,60,0.000955411317138602,0.00020134336122622562,2.7667611126892595,2.7157841667409364
43,60,0.000955411317138602,0.00020134336122622562,2.6196743961369955,2.8590166827020704
44,60,0.000955411317138602,0.00020134336122622562,2.850929276591325,2.6034293960432473
45,60,0.000955411317138602,0.00020134336122622562,2.6006457322847343,2.8494924477568833
46,60,0.000955411317138602,0.00020134336122622562,2.6207479190881906,2.890724866184941
47,60,0.000955411317138602,0.00020134336122622562,2.7329324376913764,2.7415117351165237
48,60,0.000955411317138602,0.00020134336122622562,2.5475095520744153,2.9155634136621997
49,60,0.000955411317138602,8.14922109237489e-05,2.4107634991640072,2.9653818578104856
50,60,0.000955411317138602,8.14922109237489e-05,2.528768470556257,2.8836611034967414
