generation,island,best_fitness,mean_fitness,diversity,migration_event
0,0,106.82375820452289,187.3072610493249,2.9036097585869953,False
0,1,111.01332599787753,176.85184369984955,2.845823928975411,False
0,2,112.72255872361268,182.10558769420717,2.8510153950417942,False
0,3,124.15028117407681,186.6880227367306,2.9468235796206494,False
1,0,93.76387057925992,168.0317254378141,2.553117317411907,False
1,1,111.01332599787753,161.81000584082452,2.6969421562147753,False
1,2,91.43514461711732,162.99253263016448,2.5293156945719546,False
1,3,105.34987686868817,162.23653244168273,2.6496976643164816,False
2,0,93.76387057925992,151.06155297802775,2.1736051839595736,False
2,1,75.40302754747354,146.9019986245949,2.2794307612273066,False
2,2,76.98679987447633,154.8319566406734,2.3142365512939835,False
2,3,88.39541984377661,151.41025878187702,2.3518216898322315,False
3,0,87.15334770592162,141.78458120565642,2.0573190412180966,False
3,1,75.40302754747354,141.63653491067248,2.1916055398986436,False
3,2,76.98679987447633,143.99475645090013,2.0998430114810764,False
3,3,77.34201998746809,128.1800260459192,1.9683613025751137,False
4,0,87.15334770592162,126.92574916282607,1.7322236584811694,False
4,1,75.40302754747354,139.6523727075506,1.9868092795082248,False
4,2,71.33327297533415,136.75570456398705,1.9712407286385267,False
4,3,61.076162914958545,121.73889461409068,1.7603696239558004,False
5,0,57.94221154086814,127.72659318574868,1.5148115279072438,False
5,1,75.40302754747354,133.21219320506216,1.798414640928098,False
5,2,69.08487929929134,122.36239131462985,1.6986621815182854,False
5,3,61.076162914958545,128.2918324990358,1.6928717638005382,False
6,0,57.94221154086814,118.58089244352799,1.4374517327318344,False
6,1,75.40302754747354,127.95649147797658,1.7253879401303063,False
6,2,66.71374735574467,115.1919304441612,1.393758929462297,False
6,3,55.37620740998963,113.02977032751862,1.466378930950834,False
7,0,57.94221154086814,118.84543806177533,1.3830308495902495,False
7,1,75.40302754747354,121.58998484551532,1.6127754215914958,False
7,2,65.76045598630728,106.21582373519861,1.1832470080536015,False
7,3,55.37620740998963,109.72734848006918,1.2883073473433018,False
8,0,57.94221154086814,113.01210977177956,1.4003991581415822,False
8,1,57.68562937079298,109.82101035089636,1.4071076051582463,False
8,2,65.76045598630728,104.59291943842642,0.9779252439064485,False
8,3,42.19666724629772,96.23502147651796,1.0229951185457529,False
9,0,46.581649987522496,109.08502638877125,1.3699772543068864,False
9,1,57.68562937079298,112.95230605747577,1.1820960699764878,False
9,2,58.35125156143907,94.31147928196016,0.658466613670109,False
9,3,42.19666724629772,96.70546338078637,0.9154224855436617,False
10,0,42.19666724629772,107.48409588621375,1.2621843288010828,True
10,1,46.581649987522496,108.01784898429119,1.0489841495751009,True
10,2,51.825422962552366,85.91525536236121,0.6860977921843583,True
10,3,42.19666724629772,89.9934692770529,0.9448296557456672,True
11,0,42.19666724629772,107.40832742324996,1.2244812659430013,False
11,1,42.619339828825616,105.74694616674547,1.0927770470230729,False
11,2,49.49662367479812,94.48891162840812,0.7848102480448712,False
11,3,42.19666724629772,92.52567548788711,1.0373465915227766,False
12,0,42.19666724629772,94.47990746370131,1.040810548464202,False
12,1,41.41380237023944,101.6969895341616,1.1153968934065395,False
12,2,49.49662367479812,88.8301163516896,0.59443581382384,False
12,3,42.19666724629772,88.21309594886945,0.9400645516369727,False
13,0,42.19666724629772,83.3443952183734,0.8608597484083103,False
13,1,32.87046433386263,92.98455611114571,0.9711460682689064,False
13,2,49.194264265442165,84.1457602302925,0.5217076078245242,False
13,3,42.19666724629772,87.58309008798179,0.934977833609078,False
14,0,42.19666724629772,83.07657750873332,0.7654851112931786,False
14,1,29.91028489172224,86.5789205600864,0.8225876018608022,False
